crime_description,crime_description.1,gravity,probability_to_happen_to_tourist
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),30776,1,0.5
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),32928,1,0.5
THEFT FROM PERSON - ATTEMPT,101,1,0.5
THEFT OF IDENTITY,53568,1,0.5
THEFT PLAIN - ATTEMPT,422,1,0.5
THEFT PLAIN - PETTY ($950 & UNDER),43489,1,0.5
"THEFT, COIN MACHINE - ATTEMPT",5,1,0.5
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",7,1,0.5
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",20,1,0.5
"THEFT, PERSON",3812,1,0.5
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",28064,1,0.5
THREATENING PHONE CALLS/LETTERS,445,1,0.5
THROWING OBJECT AT MOVING VEHICLE,721,1,0.5
TILL TAP - GRAND THEFT ($950.01 & OVER),14,1,0.5
TILL TAP - PETTY ($950 & UNDER),23,1,0.5
TRESPASSING,12342,1,0.5
UNAUTHORIZED COMPUTER ACCESS,487,1,0.5
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",51956,1,0.5
VANDALISM - MISDEAMEANOR ($399 OR UNDER),22635,1,0.5
VEHICLE - ATTEMPT STOLEN,3118,1,0.5
VEHICLE - STOLEN,91624,1,0.5
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",1795,1,0.5
VIOLATION OF COURT ORDER,5863,1,0.5
VIOLATION OF RESTRAINING ORDER,10779,1,0.5
VIOLATION OF TEMPORARY RESTRAINING ORDER,857,1,0.5
WEAPONS POSSESSION/BOMBING,35,1,0.5
